Date,Open,High,Low,Close,Adj Close,Volume
2017-07-17,500.000000,500.000000,500.000000,500.000000,500.000000,990
2017-07-24,500.000000,500.000000,500.000000,500.000000,500.000000,42400
2017-07-31,500.000000,500.000000,500.000000,500.000000,500.000000,135650
2017-08-07,500.000000,500.000000,500.000000,500.000000,500.000000,33420
2017-08-14,500.000000,500.000000,500.000000,500.000000,500.000000,5830
2017-08-21,500.000000,500.000000,500.000000,500.000000,500.000000,65890
2017-08-28,500.000000,500.000000,500.000000,500.000000,500.000000,33450
2017-09-04,500.000000,500.000000,500.000000,500.000000,500.000000,13780
2017-09-11,500.000000,500.000000,500.000000,500.000000,500.000000,9920
2017-09-18,500.000000,500.000000,500.000000,500.000000,500.000000,16860
2017-09-25,500.000000,500.000000,500.000000,500.000000,500.000000,3670
2017-10-02,500.000000,500.000000,500.000000,500.000000,500.000000,45050
2017-10-09,500.000000,500.000000,500.000000,500.000000,500.000000,27970
2017-10-16,500.000000,500.000000,500.000000,500.000000,500.000000,207970
2017-10-23,500.000000,500.000000,500.000000,500.000000,500.000000,90750
2017-10-30,500.000000,500.000000,500.000000,500.000000,500.000000,17330
2017-11-06,500.000000,500.000000,500.000000,500.000000,500.000000,1679140
2017-11-13,500.000000,500.000000,500.000000,500.000000,500.000000,351320
2017-11-20,500.000000,500.000000,500.000000,500.000000,500.000000,7981800
2017-11-27,500.000000,500.000000,500.000000,500.000000,500.000000,484410
2017-12-04,500.000000,500.000000,500.000000,500.000000,500.000000,15880
2017-12-11,500.000000,500.000000,500.000000,500.000000,500.000000,7780
2017-12-18,500.000000,500.000000,500.000000,500.000000,500.000000,22530
2017-12-25,500.000000,500.000000,500.000000,500.000000,500.000000,1760
2018-01-01,500.000000,500.000000,500.000000,500.000000,500.000000,29720
2018-01-08,500.000000,500.000000,500.000000,500.000000,500.000000,1568770
2018-01-15,500.000000,500.000000,500.000000,500.000000,500.000000,241920
2018-01-22,500.000000,500.000000,500.000000,500.000000,500.000000,19379800
2018-01-29,500.000000,500.000000,500.000000,500.000000,500.000000,421300
2018-02-05,500.000000,500.000000,500.000000,500.000000,500.000000,72450
2018-02-12,500.000000,500.000000,500.000000,500.000000,500.000000,62910
2018-02-19,500.000000,530.000000,500.000000,500.000000,500.000000,173063860
2018-02-26,500.000000,500.000000,500.000000,500.000000,500.000000,565510
2018-03-05,500.000000,500.000000,500.000000,500.000000,500.000000,114360
